biomarker,cluster,x,y
creatinine_mean,0,0.9644086,0.037967492
creatinine_max,2,0.5225128,0.0030761166
creatinine_slope,1,-0.41553718,-0.0074054548
urea_mean,2,0.019541493,0.036109816
urea_max,1,-0.42728493,-0.0115050245
sodium_mean,0,1.1452631,-0.035866518
potassium_mean,1,-0.4775918,-0.003605423
chloride_mean,1,-0.47104716,-0.0055460786
hemoglobin_mean,2,0.31571433,0.012155338
platelets_mean,2,0.21899402,-0.02154448
wbc_mean,1,-0.8905991,-0.019708065
module_injury,0,2.0348866,-0.007927617
module_repair,3,-1.70273,0.00060758356
gene_HAVCR1,1,-0.41265577,0.012874996
gene_LCN2,1,-0.42387074,0.010315104
