name,layer,type,assoc_score,effect_size,p_value,causal_strength,causal_confidence,causal_evidence_level,causal_mechanism,pathway_centrality,upstream_biomarkers,downstream_targets,clinical_actionability,temporal_stability,integrated_score,evidence_tier,discovery_methods,datasets
module_collecting_duct,molecular,metabolic,0.4866236704259108,0.4866236704259108,3.765077325468269e-07,0.0,0.0,1,,0.0,[],[],0.5,0.8,0.5815898703090482,4,[],"['biomarker_dataset', 'clinical_dataset']"
module_proximal_tubule,molecular,metabolic,0.22008922290939106,0.22008922290939106,0.029436435370023162,0.0,0.0,1,,0.0,[],[],0.5,0.8,0.3793046363961134,4,[],"['biomarker_dataset', 'clinical_dataset']"
urea_mg_dL_min,clinical,secreted,,,,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.35,5,[],"['biomarker_dataset', 'clinical_dataset']"
urea_mg_dL_max,clinical,secreted,,,,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.35,5,[],"['biomarker_dataset', 'clinical_dataset']"
urea_mg_dL_mean,clinical,secreted,,,,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.35,5,[],"['biomarker_dataset', 'clinical_dataset']"
gene_HAVCR1,molecular,secreted,0.10243787692990274,0.10243787692990274,0.31551608330881864,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.34325582552213985,5,[],"['biomarker_dataset', 'clinical_dataset']"
creatinine_mg_dL_max,clinical,secreted,0.09647629243685231,0.09647629243685231,0.3446492830341614,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.340508453243443,5,[],"['biomarker_dataset', 'clinical_dataset']"
creatinine_mg_dL_min,clinical,secreted,0.04952463596560283,0.04952463596560283,0.6281903289137447,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.31990510963585406,5,[],"['biomarker_dataset', 'clinical_dataset']"
module_repair,molecular,metabolic,0.09535970597393857,0.09535970597393857,0.35028790832135215,0.0,0.0,1,,0.0,[],[],0.5,0.8,0.3149972831377519,5,[],"['biomarker_dataset', 'clinical_dataset']"
gene_LCN2,molecular,secreted,0.03606598752789083,0.03606598752789083,0.7244118392076482,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.31432015777032735,5,[],"['biomarker_dataset', 'clinical_dataset']"
creatinine_mg_dL_mean,clinical,secreted,0.0078429994771386,0.0078429994771386,0.9389046274486372,0.0,0.0,1,,0.0,[],[],1.0,0.8,0.30303736285419264,5,[],"['biomarker_dataset', 'clinical_dataset']"
module_injury,molecular,metabolic,0.02456089601913254,0.02456089601913254,0.8102861346232462,0.0,0.0,1,,0.0,[],[],0.5,0.8,0.2846523086181015,5,[],"['biomarker_dataset', 'clinical_dataset']"
module_TAL,molecular,metabolic,0.013042735085808336,0.013042735085808336,0.8985722210404252,0.0,0.0,1,,0.0,[],[],0.5,0.8,0.28007399581342773,5,[],"['biomarker_dataset', 'clinical_dataset']"
